custody_id,participant_age_group,participant_gender,participant_status,participant_type,latitude,longitude,gun_stolen,gun_type,incident_id,date_fk
299344,Adult 18+,Male,Injured,Victim,38.8156,-104.78,Irrelevant,Irrelevant,167744,1198
247530,Adult 18+,Female,Injured,Victim,45.3209,-111.735,Irrelevant,Irrelevant,137173,1019
247567,Adult 18+,Male,Killed,Victim,37.6866,-113.069,Irrelevant,Irrelevant,137194,1019
247568,Adult 18+,Female,Unharmed,Victim,37.6866,-113.069,Irrelevant,Irrelevant,137194,1019
247584,Adult 18+,Male,Killed,Victim,32.4129,-85.0515,Irrelevant,Irrelevant,137204,1019
247617,Adult 18+,Female,Killed,Victim,36.0509,-115.061,Irrelevant,Irrelevant,137226,1019
247619,Adult 18+,Female,Injured,Victim,28.9096,-81.2197,Irrelevant,Irrelevant,137227,1019
247640,Adult 18+,Female,Killed,Victim,33.9534,-117.396,Irrelevant,Irrelevant,137239,1019
247657,Adult 18+,Male,Killed,Victim,42.1562,-83.6494,Irrelevant,Irrelevant,137249,1019
247797,Adult 18+,Male,Killed,Victim,26.612,-81.86,Irrelevant,Irrelevant,137328,1020
247801,Adult 18+,Male,Injured,Victim,26.612,-81.86,Irrelevant,Irrelevant,137328,1020
247805,Adult 18+,Male,Injured,Victim,26.612,-81.86,Irrelevant,Irrelevant,137328,1020
247806,Adult 18+,Male,Injured,Victim,26.612,-81.86,Irrelevant,Irrelevant,137328,1020
247807,Adult 18+,Male,Injured,Victim,26.612,-81.86,Irrelevant,Irrelevant,137328,1020
247810,Adult 18+,Male,Injured,Victim,26.612,-81.86,Irrelevant,Irrelevant,137328,1020
247800,Adult 18+,Female,Injured,Victim,26.612,-81.86,Irrelevant,Irrelevant,137328,1020
247803,Adult 18+,Female,Injured,Victim,26.612,-81.86,Irrelevant,Irrelevant,137328,1020
247796,Teen 12-17,Male,Killed,Victim,26.612,-81.86,Irrelevant,Irrelevant,137328,1020
247802,Teen 12-17,Male,Injured,Victim,26.612,-81.86,Irrelevant,Irrelevant,137328,1020
247804,Teen 12-17,Male,Injured,Victim,26.612,-81.86,Irrelevant,Irrelevant,137328,1020
247809,Teen 12-17,Male,Injured,Victim,26.612,-81.86,Irrelevant,Irrelevant,137328,1020
247798,Teen 12-17,Female,Injured,Victim,26.612,-81.86,Irrelevant,Irrelevant,137328,1020
247799,Teen 12-17,Female,Injured,Victim,26.612,-81.86,Irrelevant,Irrelevant,137328,1020
247808,Teen 12-17,Female,Injured,Victim,26.612,-81.86,Irrelevant,Irrelevant,137328,1020
247811,Teen 12-17,Female,Injured,Victim,26.612,-81.86,Irrelevant,Irrelevant,137328,1020
247836,Adult 18+,Male,Injured,Victim,36.049,-86.7136,Irrelevant,Irrelevant,137337,1020
247837,Adult 18+,Male,Injured,Victim,36.049,-86.7136,Irrelevant,Irrelevant,137337,1020
247835,Adult 18+,Female,Injured,Victim,36.049,-86.7136,Irrelevant,Irrelevant,137337,1020
247860,Adult 18+,Male,Injured,Victim,41.4701,-81.6905,Irrelevant,Irrelevant,137350,1020
247888,Adult 18+,Female,Unharmed,Victim,40.2371,-74.7851,Irrelevant,Irrelevant,137369,1020
247939,Adult 18+,Male,Killed,Victim,39.1277,-94.6184,Irrelevant,Irrelevant,137401,1020
247944,Adult 18+,Male,Injured,Victim,36.1808,-115.098,Irrelevant,Irrelevant,137404,1020
247985,Adult 18+,Male,Injured,Victim,41.5342,-81.5918,Irrelevant,Irrelevant,137428,1020
273637,Teen 12-17,Male,Injured,Victim,41.5342,-81.5918,Irrelevant,Irrelevant,152638,1109
248001,Adult 18+,Male,Killed,Victim,20.884,-156.483,Irrelevant,Irrelevant,137438,1020
248026,Teen 12-17,Female,Killed,Victim,33.4176,-111.923,Irrelevant,Irrelevant,137451,1020
248082,Adult 18+,Male,Injured,Victim,38.5513,-90.1352,Irrelevant,Irrelevant,137486,1021
248109,Adult 18+,Male,Killed,Victim,35.0608,-87.3043,Irrelevant,Irrelevant,137501,1021
248162,Adult 18+,Male,Killed,Victim,32.5923,-97.1299,Irrelevant,Irrelevant,137534,1021
248163,Teen 12-17,Male,Injured,Victim,32.5923,-97.1299,Irrelevant,Irrelevant,137534,1021
296224,Adult 18+,Male,Injured,Victim,44.9962,-101.235,Irrelevant,Irrelevant,165905,1188
