custody_id,participant_age_group,participant_gender,participant_status,participant_type,latitude,longitude,gun_stolen,gun_type,incident_id,date_fk
10,Adult 18+,Male,Arrested,Suspect,41.4455,-82.1377,Stolen,Shotgun,2,0
336,Adult 18+,Male,Arrested,Suspect,29.8736,-90.0568,Stolen,Shotgun,56,20
1194,Adult 18+,Male,Arrested,Suspect,39.9272,-82.0073,Stolen,Shotgun,209,70
1244,Adult 18+,Male,Arrested,Suspect,36.1189,-95.8429,Stolen,Shotgun,219,73
1605,Adult 18+,Male,Arrested,Suspect,30.6884,-87.048,Stolen,Shotgun,312,86
1650,Adult 18+,Male,Arrested,Suspect,38.4333,-84.3542,Stolen,Shotgun,327,86
2963,Adult 18+,Male,Arrested,Suspect,45.5252,-122.992,Stolen,Shotgun,1032,91
3159,Adult 18+,Male,Arrested,Suspect,36.8802,-80.0085,Stolen,Shotgun,1124,92
379245,Adult 18+,Male,Arrested,Suspect,42.0999,-72.5896,Stolen,Shotgun,216493,1483
3895,Adult 18+,Male,Arrested,Suspect,33.5746,-81.7321,Stolen,Shotgun,1517,95
4406,Adult 18+,Male,Arrested,Suspect,47.7549,-117.402,Stolen,Shotgun,1800,97
5204,Teen 12-17,Male,Unharmed,Suspect,40.9764,-75.2797,Stolen,Shotgun,2218,99
7804,Adult 18+,Male,Arrested,Suspect,40.4107,-79.993,Stolen,Shotgun,3545,108
8583,Adult 18+,Male,Arrested,Suspect,42.267,-71.0989,Stolen,Shotgun,3958,111
8867,Adult 18+,Male,Arrested,Suspect,47.6,-122.332,Stolen,Shotgun,4111,112
9400,Adult 18+,Male,Arrested,Suspect,33.5396,-86.7628,Stolen,Shotgun,4400,115
66161,Adult 18+,Male,Arrested,Suspect,34.5544,-92.5802,Stolen,Shotgun,33467,322
10863,Adult 18+,Male,Arrested,Suspect,43.1682,-77.6019,Stolen,Shotgun,5198,120
11450,Adult 18+,Female,Arrested,Suspect,42.3223,-122.868,Stolen,Shotgun,5501,123
13372,Adult 18+,Male,Arrested,Suspect,45.2615,-122.687,Stolen,Shotgun,6454,132
13375,Adult 18+,Female,Arrested,Suspect,45.2615,-122.687,Stolen,Shotgun,6454,132
254479,Adult 18+,Male,Unharmed,Suspect,47.986,-122.203,Stolen,Shotgun,141325,1042
14088,Adult 18+,Male,Arrested,Suspect,29.6537,-95.4568,Stolen,Shotgun,6822,136
15190,Adult 18+,Male,Arrested,Suspect,30.443,-88.9163,Stolen,Shotgun,7385,141
15572,Adult 18+,Male,Arrested,Suspect,32.9777,-104.423,Stolen,Shotgun,7602,143
220198,Adult 18+,Male,Arrested,Suspect,35.093,-106.644,Stolen,Shotgun,121324,920
282723,Adult 18+,Male,Arrested,Suspect,35.093,-106.644,Stolen,Shotgun,157954,1141
310051,Adult 18+,Male,Arrested,Suspect,35.093,-106.644,Stolen,Shotgun,174195,1237
357326,Adult 18+,Male,Arrested,Suspect,35.093,-106.644,Stolen,Shotgun,203085,1401
17374,Adult 18+,Male,Arrested,Suspect,36.2321,-76.1573,Stolen,Shotgun,8563,153
18452,Adult 18+,Male,Arrested,Suspect,33.1202,-85.2172,Stolen,Shotgun,9131,158
18473,Adult 18+,Male,Arrested,Suspect,41.6923,-86.6932,Stolen,Shotgun,9142,158
18507,Adult 18+,Male,Arrested,Suspect,41.4302,-81.5889,Stolen,Shotgun,9166,158
20271,Adult 18+,Male,Arrested,Suspect,46.4464,-120.452,Stolen,Shotgun,10053,165
20705,Adult 18+,Male,Arrested,Suspect,40.6695,-111.963,Stolen,Shotgun,10265,167
22316,Teen 12-17,Male,Arrested,Suspect,32.0604,-111.269,Stolen,Shotgun,11072,173
22981,Adult 18+,Male,Arrested,Suspect,33.5816,-83.9434,Stolen,Shotgun,11389,176
24145,Adult 18+,Male,Arrested,Suspect,43.5802,-83.9084,Stolen,Shotgun,11992,180
156551,Adult 18+,Male,Arrested,Suspect,27.795,-97.3989,Stolen,Shotgun,84509,673
27691,Adult 18+,Male,Arrested,Suspect,41.748,-74.0837,Stolen,Shotgun,13946,195
404197,Adult 18+,Male,Arrested,Suspect,41.3048,-72.923,Stolen,Shotgun,231531,1580
276702,Adult 18+,Female,Arrested,Suspect,41.3048,-72.923,Stolen,Shotgun,154424,1119
29776,Adult 18+,Male,Arrested,Suspect,41.2524,-95.998,Stolen,Shotgun,15064,204
