custody_id,participant_age_group,participant_gender,participant_status,participant_type,latitude,longitude,gun_stolen,gun_type,incident_id,date_fk
334567,Adult 18+,Male,Injured,Victim,36.989,-76.4223,Irrelevant,Irrelevant,189431,1324
334566,Child 0-11,Male,Injured,Victim,36.989,-76.4223,Irrelevant,Irrelevant,189431,1324
300997,Adult 18+,Female,Killed,Victim,31.7091,-83.2585,Irrelevant,Irrelevant,168703,1204
300998,Child 0-11,Female,Killed,Victim,31.7091,-83.2585,Irrelevant,Irrelevant,168703,1204
301009,Teen 12-17,Male,Injured,Victim,40.7006,-111.98,Irrelevant,Irrelevant,168710,1204
301019,Adult 18+,Female,Killed,Victim,32.6227,-85.4974,Irrelevant,Irrelevant,168716,1204
301044,Adult 18+,Male,Killed,Victim,36.2695,-86.6458,Irrelevant,Irrelevant,168730,1204
301081,Adult 18+,Male,Injured,Victim,41.295,-95.9531,Irrelevant,Irrelevant,168749,1204
301080,Adult 18+,Female,Killed,Victim,41.295,-95.9531,Irrelevant,Irrelevant,168749,1204
301089,Adult 18+,Male,Killed,Victim,39.2942,-84.4842,Irrelevant,Irrelevant,168755,1204
301104,Adult 18+,Female,Killed,Victim,30.4945,-87.7084,Irrelevant,Irrelevant,168762,1204
301110,Adult 18+,Male,Killed,Victim,36.9512,-92.6722,Irrelevant,Irrelevant,168766,1204
301111,Adult 18+,Male,Injured,Victim,36.9512,-92.6722,Irrelevant,Irrelevant,168766,1204
301120,Adult 18+,Male,Killed,Victim,40.4575,-79.993,Irrelevant,Irrelevant,168771,1204
301128,Adult 18+,Male,Killed,Victim,41.8808,-87.8438,Irrelevant,Irrelevant,168777,1204
362444,Teen 12-17,Male,Killed,Victim,41.8808,-87.8438,Irrelevant,Irrelevant,206264,1420
301139,Adult 18+,Male,Killed,Victim,35.3185,-80.779,Irrelevant,Irrelevant,168783,1204
301143,Adult 18+,Male,Injured,Victim,31.5858,-84.1828,Irrelevant,Irrelevant,168784,1204
301141,Adult 18+,Female,Killed,Victim,31.5858,-84.1828,Irrelevant,Irrelevant,168784,1204
301142,Adult 18+,Female,Killed,Victim,31.5858,-84.1828,Irrelevant,Irrelevant,168784,1204
301148,Adult 18+,Male,Injured,Victim,42.3648,-85.9474,Irrelevant,Irrelevant,168786,1204
289127,Teen 12-17,Male,Injured,Victim,32.064,-84.2088,Irrelevant,Irrelevant,161733,1163
301191,Adult 18+,Female,Injured,Victim,33.9286,-83.4013,Irrelevant,Irrelevant,168810,1204
301200,Adult 18+,Male,Killed,Victim,36.7405,-76.2617,Irrelevant,Irrelevant,168815,1204
301238,Adult 18+,Male,Injured,Victim,26.7938,-80.1067,Irrelevant,Irrelevant,168841,1204
301240,Adult 18+,Female,Injured,Victim,39.8421,-75.3698,Irrelevant,Irrelevant,168842,1204
351645,Adult 18+,Female,Killed,Victim,39.6273,-84.2321,Irrelevant,Irrelevant,199707,1382
301256,Adult 18+,Male,Injured,Victim,44.9494,-93.2973,Irrelevant,Irrelevant,168849,1204
301279,Adult 18+,Male,Killed,Victim,35.488,-97.5523,Irrelevant,Irrelevant,168868,1205
301282,Adult 18+,Female,Injured,Victim,37.0133,-76.354,Irrelevant,Irrelevant,168869,1205
301284,Adult 18+,Female,Killed,Victim,41.6084,-87.5069,Irrelevant,Irrelevant,168870,1205
301286,Adult 18+,Male,Injured,Victim,41.5278,-90.5711,Irrelevant,Irrelevant,168871,1205
301298,Adult 18+,Male,Injured,Victim,39.2389,-76.6028,Irrelevant,Irrelevant,168878,1205
301299,Teen 12-17,Male,Injured,Victim,39.2389,-76.6028,Irrelevant,Irrelevant,168878,1205
301300,Teen 12-17,Male,Injured,Victim,39.2389,-76.6028,Irrelevant,Irrelevant,168878,1205
301304,Adult 18+,Male,Killed,Victim,37.6679,-120.971,Irrelevant,Irrelevant,168880,1205
301315,Adult 18+,Male,Injured,Victim,34.0155,-118.301,Irrelevant,Irrelevant,168887,1205
301320,Adult 18+,Male,Killed,Victim,30.7396,-88.0808,Irrelevant,Irrelevant,168889,1205
301344,Adult 18+,Female,Killed,Victim,36.5142,-82.7571,Irrelevant,Irrelevant,168902,1205
301350,Adult 18+,Male,Killed,Victim,41.1521,-80.6625,Irrelevant,Irrelevant,168907,1205
299294,Adult 18+,Male,Unharmed,Victim,61.2087,-149.863,Irrelevant,Irrelevant,167712,1198
301370,Adult 18+,Male,Killed,Victim,39.0269,-94.5675,Irrelevant,Irrelevant,168916,1205
301372,Adult 18+,Male,Injured,Victim,39.803,-105.086,Irrelevant,Irrelevant,168917,1205
301385,Adult 18+,Female,Injured,Victim,29.9731,-90.0608,Irrelevant,Irrelevant,168921,1205
301386,Adult 18+,Female,Killed,Victim,29.9731,-90.0608,Irrelevant,Irrelevant,168921,1205
301387,Adult 18+,Male,Arrested,Victim,29.9731,-90.0608,Irrelevant,Irrelevant,168921,1205
301406,Adult 18+,Male,Injured,Victim,35.2095,-89.7501,Irrelevant,Irrelevant,168925,1205
301414,Adult 18+,Male,Killed,Victim,37.6495,-77.5475,Irrelevant,Irrelevant,168932,1205
301425,Adult 18+,Male,Killed,Victim,42.998,-84.1394,Irrelevant,Irrelevant,168939,1205
301426,Adult 18+,Male,Killed,Victim,42.998,-84.1394,Irrelevant,Irrelevant,168939,1205
301432,Adult 18+,Male,Killed,Victim,40.5058,-80.0761,Irrelevant,Irrelevant,168942,1205
301441,Adult 18+,Male,Injured,Victim,43.6646,-93.0127,Irrelevant,Irrelevant,168946,1205
301450,Adult 18+,Male,Killed,Victim,32.7513,-97.4521,Irrelevant,Irrelevant,168952,1205
301500,Adult 18+,Male,Injured,Victim,40.6667,-74.2157,Irrelevant,Irrelevant,168984,1205
301512,Adult 18+,Male,Injured,Victim,33.5255,-81.7144,Irrelevant,Irrelevant,168991,1205
301511,Adult 18+,Female,Injured,Victim,33.5255,-81.7144,Irrelevant,Irrelevant,168991,1205
301510,Teen 12-17,Female,Injured,Victim,33.5255,-81.7144,Irrelevant,Irrelevant,168991,1205
301526,Adult 18+,Male,Killed,Victim,39.2751,-76.6424,Irrelevant,Irrelevant,169000,1205
193718,Adult 18+,Male,Injured,Victim,35.0456,-85.3083,Irrelevant,Irrelevant,106013,816
352904,Adult 18+,Male,Injured,Victim,35.0456,-85.3083,Irrelevant,Irrelevant,200454,1386
359479,Adult 18+,Male,Injured,Victim,35.0456,-85.3083,Irrelevant,Irrelevant,204413,1409
394517,Adult 18+,Male,Injured,Victim,35.0456,-85.3083,Irrelevant,Irrelevant,225691,1542
415588,Adult 18+,Male,Injured,Victim,35.0456,-85.3083,Irrelevant,Irrelevant,238683,1627
410523,Adult 18+,Female,Injured,Victim,35.0456,-85.3083,Irrelevant,Irrelevant,235416,1606
48824,Child 0-11,Male,Injured,Victim,35.0456,-85.3083,Irrelevant,Irrelevant,24859,272
301547,Adult 18+,Male,Injured,Victim,41.4854,-81.7575,Irrelevant,Irrelevant,169012,1205
301602,Adult 18+,Male,Killed,Victim,33.9508,-84.1559,Irrelevant,Irrelevant,169047,1206
301603,Adult 18+,Male,Injured,Victim,33.9508,-84.1559,Irrelevant,Irrelevant,169047,1206
301615,Adult 18+,Male,Killed,Victim,32.3878,-95.2684,Irrelevant,Irrelevant,169053,1206
301631,Adult 18+,Male,Injured,Victim,40.2485,-74.7862,Irrelevant,Irrelevant,169063,1206
301632,Teen 12-17,Female,Injured,Victim,40.2485,-74.7862,Irrelevant,Irrelevant,169063,1206
301638,Adult 18+,Male,Injured,Victim,30.4529,-86.6279,Irrelevant,Irrelevant,169067,1206
301641,Adult 18+,Male,Killed,Victim,35.509,-79.5066,Irrelevant,Irrelevant,169069,1206
301652,Adult 18+,Male,Killed,Victim,29.98,-90.0457,Irrelevant,Irrelevant,169073,1206
301653,Adult 18+,Male,Killed,Victim,29.98,-90.0457,Irrelevant,Irrelevant,169073,1206
301664,Adult 18+,Male,Arrested,Victim,44.0219,-94.4423,Irrelevant,Irrelevant,169080,1206
301668,Adult 18+,Male,Killed,Victim,32.6978,-79.9687,Irrelevant,Irrelevant,169081,1206
