custody_id,participant_age_group,participant_gender,participant_status,participant_type,latitude,longitude,gun_stolen,gun_type,incident_id,date_fk
198118,Adult 18+,Female,Unharmed,Victim,30.5442,-91.9483,Irrelevant,Irrelevant,108547,834
199053,Adult 18+,Male,Unharmed,Victim,29.0659,-82.2317,Irrelevant,Irrelevant,109053,838
199052,Adult 18+,Female,Unharmed,Victim,29.0659,-82.2317,Irrelevant,Irrelevant,109053,838
199289,Adult 18+,Male,Unharmed,Victim,42.6693,-83.3027,Irrelevant,Irrelevant,109178,839
200869,Adult 18+,Male,Unharmed,Victim,43.5286,-123.325,Irrelevant,Irrelevant,110056,844
200870,Adult 18+,Female,Unharmed,Victim,43.5286,-123.325,Irrelevant,Irrelevant,110056,844
200887,Adult 18+,Female,Unharmed,Victim,32.8733,-97.3909,Irrelevant,Irrelevant,110066,844
202124,Adult 18+,Male,Unharmed,Victim,41.7288,-81.1779,Irrelevant,Irrelevant,110801,849
202502,Adult 18+,Male,Unharmed,Victim,32.8787,-79.9984,Irrelevant,Irrelevant,111009,851
202730,Adult 18+,Male,Arrested,Victim,46.7597,-122.035,Irrelevant,Irrelevant,111138,852
202828,Adult 18+,Female,Unharmed,Victim,34.9495,-91.9344,Irrelevant,Irrelevant,111196,852
204526,Adult 18+,Male,Unharmed,Victim,34.0561,-117.663,Irrelevant,Irrelevant,112136,859
204700,Adult 18+,Male,Arrested,Victim,42.6342,-82.9069,Irrelevant,Irrelevant,112239,860
204882,Adult 18+,Male,Unharmed,Victim,39.2289,-84.4627,Irrelevant,Irrelevant,112353,861
206340,Adult 18+,Male,Unharmed,Victim,45.0911,-93.3484,Irrelevant,Irrelevant,113209,867
206884,Adult 18+,Male,Unharmed,Victim,36.7742,-90.4486,Irrelevant,Irrelevant,113547,869
207709,Adult 18+,Female,Unharmed,Victim,33.8373,-86.2533,Irrelevant,Irrelevant,114013,873
208198,Adult 18+,Male,Unharmed,Victim,29.6838,-95.5656,Irrelevant,Irrelevant,114305,875
208560,Adult 18+,Female,Unharmed,Victim,34.9608,-106.251,Irrelevant,Irrelevant,114517,876
209873,Adult 18+,Male,Unharmed,Victim,29.9349,-95.5795,Irrelevant,Irrelevant,115278,881
209969,Adult 18+,Male,Unharmed,Victim,36.0457,-86.7225,Irrelevant,Irrelevant,115338,882
210893,Adult 18+,Male,Unharmed,Victim,34.416,-118.492,Irrelevant,Irrelevant,115901,885
210904,Adult 18+,Male,Unharmed,Victim,40.6897,-111.886,Irrelevant,Irrelevant,115909,885
211022,Adult 18+,Male,Unharmed,Victim,43.0943,-79.0131,Irrelevant,Irrelevant,115976,885
212250,Adult 18+,Female,Unharmed,Victim,34.9905,-80.0756,Irrelevant,Irrelevant,116686,890
212336,Adult 18+,Male,Unharmed,Victim,26.0419,-80.3535,Irrelevant,Irrelevant,116739,890
212339,Adult 18+,Male,Unharmed,Victim,34.5072,-117.221,Irrelevant,Irrelevant,116741,890
212425,Adult 18+,Female,Unharmed,Victim,27.889,-82.4983,Irrelevant,Irrelevant,116791,891
213167,Adult 18+,Male,Unharmed,Victim,34.9442,-82.4045,Irrelevant,Irrelevant,117215,893
213195,Adult 18+,Male,Unharmed,Victim,29.1332,-98.1589,Irrelevant,Irrelevant,117230,893
213972,Adult 18+,Female,Unharmed,Victim,29.1021,-82.1153,Irrelevant,Irrelevant,117678,896
214664,Adult 18+,Male,Unharmed,Victim,33.9457,-118.271,Irrelevant,Irrelevant,118076,899
216309,Adult 18+,Male,Unharmed,Victim,41.9753,-87.655,Irrelevant,Irrelevant,119058,905
219392,Adult 18+,Male,Unharmed,Victim,25.4944,-80.4363,Irrelevant,Irrelevant,120847,917
220222,Adult 18+,Male,Unharmed,Victim,37.5034,-82.882,Irrelevant,Irrelevant,121337,920
220250,Adult 18+,Male,Unharmed,Victim,39.2886,-76.6395,Irrelevant,Irrelevant,121355,920
220552,Adult 18+,Male,Unharmed,Victim,42.1031,-80.0978,Irrelevant,Irrelevant,121521,921
221774,Adult 18+,Female,Unharmed,Victim,37.8063,-83.7663,Irrelevant,Irrelevant,122203,925
222354,Adult 18+,Female,Unharmed,Victim,30.3965,-91.1042,Irrelevant,Irrelevant,122550,928
222355,Adult 18+,Female,Unharmed,Victim,30.3965,-91.1042,Irrelevant,Irrelevant,122550,928
222410,Adult 18+,Male,Unharmed,Victim,34.9315,-88.5101,Irrelevant,Irrelevant,122582,928
222622,Teen 12-17,Male,Injured,Victim,45.1329,-89.1762,Irrelevant,Irrelevant,122698,928
222623,Teen 12-17,Female,Injured,Victim,45.1329,-89.1762,Irrelevant,Irrelevant,122698,928
